"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1724 0.157415 0.157415 79.637415 79.637415
1742 0.148865 0.148865 79.628865 79.628865
1753 0.147974 0.147974 79.627974 79.627974
1757 0.146527 0.146527 79.626527 79.626527
1761 0.141261 0.141261 79.621261 79.621261
1764 0.140201 0.140201 79.620201 79.620201
1782 0.135013 0.135013 79.615013 79.615013
1784 0.133083 0.133083 79.613083 79.613083
1802 0.131466 0.131466 79.611466 79.611466
1806 0.130407 0.130407 79.610407 79.610407
1808 0.122202 0.122202 79.602202 79.602202
1821 0.116883 0.116883 79.596883 79.596883
1823 0.116816 0.116816 79.596816 79.596816
1842 0.110329 0.110329 79.590329 79.590329
1865 0.107570 0.107570 79.587570 79.587570
1879 0.107499 0.107499 79.587499 79.587499
1881 0.107218 0.107218 79.587218 79.587218
1883 0.106287 0.106287 79.586287 79.586287
1884 0.106080 0.106080 79.586080 79.586080
1885 0.104727 0.104727 79.584727 79.584727
1895 0.104214 0.104214 79.584214 79.584214
1901 0.100569 0.100569 79.580569 79.580569
1914 0.097531 0.097531 79.577531 79.577531
1921 0.090080 0.090080 79.570080 79.570080
1941 0.088818 0.088818 79.568818 79.568818
1945 0.088437 0.088437 79.568437 79.568437
1958 0.087830 0.087830 79.567830 79.567830
1961 0.087654 0.087654 79.567654 79.567654
1962 0.086593 0.086593 79.566593 79.566593
1964 0.085965 0.085965 79.565965 79.565965
1968 0.081975 0.081975 79.561975 79.561975
1982 0.074988 0.074988 79.554988 79.554988
2001 0.074934 0.074934 79.554934 79.554934
2004 0.072599 0.072599 79.552599 79.552599
2007 0.072261 0.072261 79.552261 79.552261
2011 0.071554 0.071554 79.551554 79.551554
2022 0.068021 0.068021 79.548021 79.548021
2043 0.066867 0.066867 79.546867 79.546867
2049 0.065398 0.065398 79.545398 79.545398
2062 0.061459 0.061459 79.541459 79.541459
2087 0.061387 0.061387 79.541387 79.541387
