"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
319 60.087826 60.087826 -402.002174 -402.002174
352 54.716207 54.716207 -407.373793 -407.373793
353 54.068313 54.068313 -408.021687 -408.021687
483 52.587146 52.587146 -409.502854 -409.502854
662 52.447806 52.447806 -409.642194 -409.642194
667 52.250513 52.250513 -409.839487 -409.839487
704 52.139428 52.139428 -409.950572 -409.950572
707 51.313864 51.313864 -410.776136 -410.776136
794 51.103111 51.103111 -410.986889 -410.986889
889 50.977799 50.977799 -411.112201 -411.112201
963 50.943580 50.943580 -411.146420 -411.146420
1038 50.936879 50.936879 -411.153121 -411.153121
1050 50.803067 50.803067 -411.286933 -411.286933
1522 50.772813 50.772813 -411.317187 -411.317187
1601 50.760240 50.760240 -411.329760 -411.329760
1664 50.758046 50.758046 -411.331954 -411.331954
1694 50.749326 50.749326 -411.340674 -411.340674
1893 50.748993 50.748993 -411.341007 -411.341007
2331 50.748604 50.748604 -411.341396 -411.341396
2361 50.745859 50.745859 -411.344141 -411.344141
2458 50.743895 50.743895 -411.346105 -411.346105
2684 50.743620 50.743620 -411.346380 -411.346380
2699 50.743598 50.743598 -411.346402 -411.346402
2704 50.743344 50.743344 -411.346656 -411.346656
2743 50.743030 50.743030 -411.346970 -411.346970
2776 50.742382 50.742382 -411.347618 -411.347618
2838 50.742216 50.742216 -411.347784 -411.347784
3147 50.742133 50.742133 -411.347867 -411.347867
3188 50.742041 50.742041 -411.347959 -411.347959
3218 50.741989 50.741989 -411.348011 -411.348011
3526 50.741976 50.741976 -411.348024 -411.348024
3533 50.741962 50.741962 -411.348038 -411.348038
3616 50.741923 50.741923 -411.348077 -411.348077
3784 50.741923 50.741923 -411.348077 -411.348077
4199 50.741923 50.741923 -411.348077 -411.348077
4314 50.741919 50.741919 -411.348081 -411.348081
4329 50.741915 50.741915 -411.348085 -411.348085
4608 50.741914 50.741914 -411.348086 -411.348086
4749 50.741913 50.741913 -411.348087 -411.348087
4773 50.741913 50.741913 -411.348087 -411.348087
4858 50.741912 50.741912 -411.348088 -411.348088
4961 50.741912 50.741912 -411.348088 -411.348088
5042 50.741911 50.741911 -411.348089 -411.348089
5206 50.741911 50.741911 -411.348089 -411.348089
5238 50.741911 50.741911 -411.348089 -411.348089
5255 50.741911 50.741911 -411.348089 -411.348089
5504 50.741911 50.741911 -411.348089 -411.348089
6089 50.741911 50.741911 -411.348089 -411.348089
6169 50.741911 50.741911 -411.348089 -411.348089
6296 50.741911 50.741911 -411.348089 -411.348089
6570 50.741911 50.741911 -411.348089 -411.348089
6887 50.741911 50.741911 -411.348089 -411.348089
6942 50.741911 50.741911 -411.348089 -411.348089
7270 50.741911 50.741911 -411.348089 -411.348089
7315 50.741911 50.741911 -411.348089 -411.348089
7549 50.741911 50.741911 -411.348089 -411.348089
7583 50.741911 50.741911 -411.348089 -411.348089
7609 50.741911 50.741911 -411.348089 -411.348089
7702 50.741911 50.741911 -411.348089 -411.348089
7817 50.741911 50.741911 -411.348089 -411.348089
8239 50.741911 50.741911 -411.348089 -411.348089
8444 50.741911 50.741911 -411.348089 -411.348089
8588 50.741911 50.741911 -411.348089 -411.348089
8640 50.741911 50.741911 -411.348089 -411.348089
8857 50.741911 50.741911 -411.348089 -411.348089
8893 50.741911 50.741911 -411.348089 -411.348089
9009 50.741911 50.741911 -411.348089 -411.348089
9064 50.741911 50.741911 -411.348089 -411.348089
9162 50.741911 50.741911 -411.348089 -411.348089
9192 50.741911 50.741911 -411.348089 -411.348089
9324 50.741911 50.741911 -411.348089 -411.348089
9398 50.741911 50.741911 -411.348089 -411.348089
9455 50.741911 50.741911 -411.348089 -411.348089
9565 50.741911 50.741911 -411.348089 -411.348089
9845 50.741911 50.741911 -411.348089 -411.348089
10749 50.741911 50.741911 -411.348089 -411.348089
50000 50.741911 50.741911 -411.348089 -411.348089
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 350.089094 350.089094 427.749094 427.749094
2 133.495635 133.495635 211.155635 211.155635
45 119.581283 119.581283 197.241283 197.241283
93 115.465886 115.465886 193.125886 193.125886
116 103.131537 103.131537 180.791537 180.791537
226 97.397113 97.397113 175.057113 175.057113
252 93.162707 93.162707 170.822707 170.822707
264 89.986497 89.986497 167.646497 167.646497
304 88.012380 88.012380 165.672380 165.672380
351 87.310272 87.310272 164.970272 164.970272
375 87.021967 87.021967 164.681967 164.681967
515 86.652270 86.652270 164.312270 164.312270
602 86.454616 86.454616 164.114616 164.114616
817 86.202598 86.202598 163.862598 163.862598
821 85.975769 85.975769 163.635769 163.635769
869 85.629970 85.629970 163.289970 163.289970
1411 85.613105 85.613105 163.273105 163.273105
1568 85.604278 85.604278 163.264278 163.264278
1653 85.596512 85.596512 163.256512 163.256512
1697 85.579270 85.579270 163.239270 163.239270
1773 85.577642 85.577642 163.237642 163.237642
1822 85.574267 85.574267 163.234267 163.234267
2074 85.573545 85.573545 163.233545 163.233545
2110 85.569315 85.569315 163.229315 163.229315
2176 85.568094 85.568094 163.228094 163.228094
2356 85.567612 85.567612 163.227612 163.227612
2381 85.566935 85.566935 163.226935 163.226935
2514 85.566672 85.566672 163.226672 163.226672
2630 85.565648 85.565648 163.225648 163.225648
3505 85.565601 85.565601 163.225601 163.225601
3560 85.565587 85.565587 163.225587 163.225587
3727 85.565570 85.565570 163.225570 163.225570
3862 85.565564 85.565564 163.225564 163.225564
4436 85.565562 85.565562 163.225562 163.225562
4458 85.565562 85.565562 163.225562 163.225562
4614 85.565562 85.565562 163.225562 163.225562
4796 85.565561 85.565561 163.225561 163.225561
4861 85.565561 85.565561 163.225561 163.225561
4957 85.565561 85.565561 163.225561 163.225561
5031 85.565561 85.565561 163.225561 163.225561
5137 85.565560 85.565560 163.225560 163.225560
5165 85.565560 85.565560 163.225560 163.225560
5451 85.565560 85.565560 163.225560 163.225560
5669 85.565560 85.565560 163.225560 163.225560
5862 85.565560 85.565560 163.225560 163.225560
